A,220725,033129,2235.1489,N,11357.0225,E,8.54,-0.66,0.42,-0.67;
A,220725,033130,2235.1495,N,11357.0230,E,8.61,-0.65,0.43,-0.68;
A,220725,033131,2235.1501,N,11357.0235,E,8.68,-0.64,0.44,-0.69;
A,220725,033132,2235.1507,N,11357.0240,E,8.75,-0.63,0.45,-0.70;
A,220725,033133,2235.1513,N,11357.0245,E,8.82,-0.62,0.46,-0.71;
A,220725,033134,2235.1519,N,11357.0250,E,8.89,-0.61,0.47,-0.72;
A,220725,033135,2235.1525,N,11357.0255,E,8.96,-0.60,0.48,-0.73;
A,220725,033136,2235.1531,N,11357.0260,E,9.03,-0.59,0.49,-0.74;
A,220725,033137,2235.1537,N,11357.0265,E,9.10,-0.58,0.50,-0.75;
A,220725,033138,2235.1543,N,11357.0270,E,9.17,-0.57,0.51,-0.76;
